abstract,academicAdvisor,almaMater,award,birthDate,birthName,birthPlace,categories,children,citizenship,comment,deathDate,deathPlace,description,doctoralAdvisor,doctoralStudent,field,fullName,gender,givenName,influenced,influencedBy,isPrimaryTopicOf,knownFor,name,nationality,notableStudent,residence,resource,signature,source,spouse,surname,theorized,thesisTitle,thesisUrl,thesisYear,thumbnail,wasDerivedFrom,wikiPageID,wikiPageRevisionID,workplaces
"Aage Niels Bohr (Danish: [ˈɔːʊ̯ə ˌnels ˈboɐ̯ˀ] ; 19 June 1922 – 9 September 2009) was a Danish nuclear physicist who shared the Nobel Prize in Physics in 1975 with Ben Mottelson and James Rainwater ""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"". Starting from Rainwater's concept of an irregular-shaped liquid drop model of the nucleus, Bohr and Mottelson developed a detailed theory that was in close agreement with experiments. Since his father, Niels Bohr, had won the prize in 1922, he and his father were one of the six pairs of fathers and sons who have both won the Nobel Prize and one of the four pairs who have both won the Nobel Prize in Physics.",,University of Copenhagen,H.C. Ørsted Medal|Atoms for Peace Award|Nobel Prize in Physics|Dannie Heineman Prize for Mathematical Physics|Rutherford Medal and Prize|John Price Wetherill Medal,1922-06-19,,"Copenhagen|Copenhagen, Denmark",Institute for Advanced Study visiting scholars|Danish physicists|Danish people of Jewish descent|Niels Bohr|Bohr family|Atoms for Peace Award recipients|University of Copenhagen alumni|1922 births|Members of the Royal Swedish Academy of Sciences|Members of the United States National Academy of Sciences|Members of the Pontifical Academy of Sciences|Nobel laureates in Physics|2009 deaths|Danish Nobel laureates|Scientists from Copenhagen|Danish nuclear physicists|Manhattan Project people,,,"Aage Niels Bohr (Danish: [ˈɔːʊ̯ə ˌnels ˈboɐ̯ˀ] ; 19 June 1922 – 9 September 2009) was a Danish nuclear physicist who shared the Nobel Prize in Physics in 1975 with Ben Mottelson and James Rainwater ""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"". Starting from Rainwater's concept of an irregular-shaped liquid drop model of the nucleus, Bohr and Mottelson developed a detailed theory that was in close agreement with experiments. Since his father, Niels Bohr, had won the prize in 1922, he and his father were one of the six pairs of fathers and sons who have both won the Nobel Prize and one of the four pairs who have both won the No",2009-09-08,Copenhagen,Danish physicist,,,Nuclear physics,Aage Bohr,male,Aage,,,http://en.wikipedia.org/wiki/Aage_Bohr,Geometry of atomic nuclei,Aage Niels Bohr,Danish,,,http://dbpedia.org/resource/Aage_Bohr,,http://dbpedia.org/data/Aage_Bohr.json,,,,Rotational States of Atomic Nuclei,,1954,http://commons.wikimedia.org/wiki/Special:FilePath/Aage_Bohr.jpg?width=300,http://en.wikipedia.org/wiki/Aage_Bohr?oldid=727860526,2201,727860526,University of Copenhagen|Institute for Advanced Study|Manhattan Project|Columbia University
"Aaldert Hendrik Wapstra (24 April 1922, Utrecht – 2 December 2006, Naarden) was a Dutch physicist. Wapstra studied physics at Utrecht University and obtained his PhD with the dissertation Decay schemes of Pb209, Bi207 and Bi214 and the binding energies of the heavy nuclei at the University of Amsterdam in 1953. He became a full professor in 1955 at the department of experimental physics at the Technische Hogeschool, now the Technical University in Delft, Netherlands. On the 18th of March 1963 Wapstra entered the board of the IKO, now known as NIKHEF, as the scientific director of nuclear spectroscopy. He became the director in 1971, succeeding Van Lieshout, where he continued on until 1982. He retired in 1987. Wapstra is renowned for his work on the Atomic Mass Evaluation, in the beginning together with Josef Mattauch at the Max Planck Institute for Chemistry and later on with his colleague Georges Audi at Université de Paris-Sud. For this work he obtained the SUNAMCO medal of the International Union of Pure and Applied Physics (IUPAP) in September 2004.",,,SUNAMCO,1922-04-24,,,Dutch nuclear physicists|Utrecht University alumni|2006 deaths|Dutch physicists|University of Amsterdam alumni|1922 births|People from Utrecht (city)|Delft University of Technology faculty,,,"Aaldert Hendrik Wapstra (24 April 1922, Utrecht – 2 December 2006, Naarden) was a Dutch physicist. Wapstra studied physics at Utrecht University and obtained his PhD with the dissertation Decay schemes of Pb209, Bi207 and Bi214 and the binding energies of the heavy nuclei at the University of Amsterdam in 1953. He became a full professor in 1955 at the department of experimental physics at the Technische Hogeschool, now the Technical University in Delft, Netherlands. On the 18th of March 1963 Wapstra entered the board of the IKO, now known as NIKHEF, as the scientific director of nuclear spectroscopy. He became the director in 1971, succeeding Van Lieshout, where he continued on until 1982. He retired in 1987.",2006-12-02,Naarden,Dutch nuclear physicist,,,Physics,Aaldert Wapstra,male,Aaldert,,,http://en.wikipedia.org/wiki/Aaldert_Wapstra,Atomic Mass Evaluation,Aaldert Hendrik Wapstra|Aaldert Wapstra,Netherlands,,,http://dbpedia.org/resource/Aaldert_Wapstra,,http://dbpedia.org/data/Aaldert_Wapstra.json,,Wapstra,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Aaldert_Wapstra.jpg?width=300,http://en.wikipedia.org/wiki/Aaldert_Wapstra?oldid=717669775,11543116,717669775,
"Mohammad Abdus Salam NI, SPk, KBE (Punjabi, Urdu: محمد عبد السلام‎; pronounced [əbd̪ʊs səlɑm]; 29 January 1926 – 21 November 1996), was a Pakistani theoretical physicist. A major figure in 20th century theoretical physics, he shared the 1979 Nobel Prize in Physics with Sheldon Glashow and Steven Weinberg for his contribution to the electroweak unification theory. He was the first Pakistani and first Muslim to receive a Nobel Prize in science and the second from an Islamic country to receive any Nobel Prize (after Anwar Sadat of Egypt). Salam was a top level science advisor to the Government of Pakistan from 1960 to 1974, a position from which he played a major and influential role in the development of the country's science infrastructure. Salam was responsible not only for contributing to major developments in theoretical and particle physics, but also for promoting the broadening and deepening of high calibre scientific research in his country. He was the founding director of the Space and Upper Atmosphere Research Commission (SUPARCO), and responsible for the establishment of the Theoretical Physics Group (TPG) in the Pakistan Atomic Energy Commission (PAEC). As Science Advisor, Salam played an integral role in Pakistan's development of the peaceful use of nuclear energy, and may have contributed as well to development of atomic bomb project of Pakistan in 1972; for this, he is viewed as the ""scientific father"" of this programme. In 1974, Abdus Salam departed from his country, in protest, after the Pakistan Parliament passed a controversial parliamentary bill declaring the Ahmadiyya movement, to which Salam belonged, as not-Islamic. In 1998, following the country's nuclear tests, the Government of Pakistan issued a commemorative stamp, as a part of ""Scientists of Pakistan"", to honour the services of Salam. Salam's major and notable achievements include the Pati–Salam model, magnetic photon, vector meson, Grand Unified Theory, work on supersymmetry and, most importantly, electroweak theory, for which he was awarded the most prestigious award in physics – the Nobel Prize. Salam made a major contribution in quantum field theory and in the advancement of Mathematics at Imperial College London. With his student, Riazuddin, Salam made important contributions to the modern theory on neutrinos, neutron stars and black holes, as well as the work on modernising the quantum mechanics and quantum field theory. As a teacher and science promoter, Salam is remembered as a founder and scientific father of mathematical and theoretical physics in Pakistan during his term as the chief scientific advisor to the president. Salam heavily contributed to the rise of Pakistani physics to the physics community in the world. Even until shortly before his death, Salam continued to contribute to physics, and to advocate for the development of science in Third-World countries.",Paul Taunton Matthews,"St John's College, Cambridge|University of the Punjab|Government College University, Lahore",Copley Medal|Fellow of the Royal Society|Atoms for Peace Prize|Sitara-e-Pakistan|Nishan-e-Imtiaz|Hughes Medal|Royal Medal|Smith's Prize|Nobel Prize in Physics|Adams Prize,1926-01-29,,British India|Punjab Province (British India)|Jhang,"Theoretical physicists|Foreign Members of the USSR Academy of Sciences|Punjabi people|Pakistani scholars|Academics of Imperial College London|Recipients of the Copley Medal|Foreign Fellows of the Indian National Science Academy|Foreign Members of the Russian Academy of Sciences|Science and technology in Pakistan|University of the Punjab alumni|Atoms for Peace Award recipients|Government College University, Lahore alumni|1926 births|Pakistani Nobel laureates|Alumni of St John's College, Cambridge|Administrators of the Space and Upper Atmosphere Research Commission|Punjabi Nobel laureates|1996 deaths|Recipients of the National Order of Scientific Merit (Brazil)|Fellows of the Royal Society|Royal Medal winners|People from Jhang District|Recipients of the Pride of Performance|Space and Upper Atmosphere Research Commission people|Recipients of Nishan-e-Imtiaz|Pakistani physicists|Pakistani scientists|Fellows of Bangladesh Academy of Sciences|Pakistani Ahmadis|Honorary Knights Commander of the Order of the British Empire|Maxwell Medal and Prize recipients|Project-706|TWAS fellows|Members of the Pontifical Academy of Sciences|Nobel laureates in Physics|Space advocates|Deaths from progressive supranuclear palsy|Pakistani academics|Fellows of Pakistan Academy of Sciences",Aziza Rahman|Anisa Bushra Salam Bajwa,,"Mohammad Abdus Salam NI, SPk, KBE (Punjabi, Urdu: محمد عبد السلام‎; pronounced [əbd̪ʊs səlɑm]; 29 January 1926 – 21 November 1996), was a Pakistani theoretical physicist. A major figure in 20th century theoretical physics, he shared the 1979 Nobel Prize in Physics with Sheldon Glashow and Steven Weinberg for his contribution to the electroweak unification theory. He was the first Pakistani and first Muslim to receive a Nobel Prize in science and the second from an Islamic country to receive any Nobel Prize (after Anwar Sadat of Egypt).",1996-11-21,Oxford,"theoretical physicist, and Nobel Prize in Physics recipient",Nicholas Kemmer,Michael Duff (physicist),Theoretical physics,Abdus Salam,male,Muhammed,Hafeez Hoorani|Mujaddid Ahmed Ijaz|Pervez Hoodbhoy|Riazuddin (physicist)|Salim Mehmud|Tariq Mustafa,Abdullah Sadiq|Benjamin W. Lee|Fayyazuddin|M. Shahid Qureshi|Muneer Ahmad Rashid|Noor Muhammad|Parvez Butt,http://en.wikipedia.org/wiki/Abdus_Salam,Electroweak theory,Mohammad Abdus Salam|Abdus Salam,Pakistani,Faheem Hussain,,http://dbpedia.org/resource/Abdus_Salam,AbdusSalamBlackpenAutograph.gif,http://dbpedia.org/data/Abdus_Salam.json,Louise Johnson,,W and Z bosons,Renormalisation of Quantum Field Theory,,1951,http://commons.wikimedia.org/wiki/Special:FilePath/Abdus_Salam_1987.jpg?width=300,http://en.wikipedia.org/wiki/Abdus_Salam?oldid=742242509,304427,742242509,PAECSUPARCOPINSTECHPunjab UniversityImperial College LondonGovernment College UniversityUniversity of CambridgeICTPCOMSATSTWASEdward Bouchet Abdus Salam Institute
"Abraham Isahakovich Alikhanov (Alikhanian, Armenian: Աբրահամ Իսահակի Ալիխանյան) (February 20, 1904 – December 8, 1970) was a Soviet Armenian physicist, academic of the USSR Academy of Sciences. He was one of the leaders of the Soviet atomic project. In 1945, he founded and became director of the Institute for Theoretical and Experimental Physics. He is known as one of the fathers of Soviet particle physics.",,Leningrad Polytechnic Institute,Stalin Prize|Hero of Socialist Labor,1904-02-20,,Russian Empire|Elisabethpol|Tbilisi|Elisabethpol Governorate,"Recipients of the USSR State Prize|Armenian inventors|Stalin Prize winners|Burials at Novodevichy Cemetery|Armenian physicists|20th-century physicists|Soviet Armenians|1970 deaths|Azerbaijani Armenians|20th-century scientists|Soviet inventors|Armenian scientists|Armenian academics|Soviet nuclear physicists|1904 births|Russian nuclear physicists|People from Ganja, Azerbaijan|Full Members of the USSR Academy of Sciences|Soviet physicists",,,"Abraham Isahakovich Alikhanov (Alikhanian, Armenian: Աբրահամ Իսահակի Ալիխանյան) (February 20, 1904 – December 8, 1970) was a Soviet Armenian physicist, academic of the USSR Academy of Sciences. He was one of the leaders of the Soviet atomic project. In 1945, he founded and became director of the Institute for Theoretical and Experimental Physics. He is known as one of the fathers of Soviet particle physics.",1970-12-08,Russian SFSR|Soviet Union|Moscow,family,,,Particle physics,Abraham Alikhanov,male,Abraham,,,http://en.wikipedia.org/wiki/Abraham_Alikhanov,Nuclear reactor|USSR,Abraham Alikhanov,Armenians,,,http://dbpedia.org/resource/Abraham_Alikhanov,,http://dbpedia.org/data/Abraham_Alikhanov.json,,Alikhanov,,,,,,http://en.wikipedia.org/wiki/Abraham_Alikhanov?oldid=736856447,18594585,736856447,Institute for Theoretical and Experimental Physics
"Abraham Haskel Taub (February 1, 1911 – August 9, 1999) was a distinguished American mathematician and physicist, well known for his important contributions to the early development of general relativity, as well as differential geometry and differential equations. In a 1948 paper dealing with relativistic shock waves, he introduced a relativistic generalization of the Rankine-Hugoniot jump conditions across a shock, which is now known as the Taub Adiabat. He also introduced the Taub–NUT space in general relativity. Taub earned his doctorate at Princeton University in 1935, under the direction of the prominent relativist Howard P. Robertson. At Princeton, Taub was also influenced by Oswald Veblen. In 1948, Abe Taub went to the University of Illinois as the chief mathematician associated with a project to build a computer based on von Neumann's plans. The computer, called ORDVAC, was completed in 1952 and delivered to the Aberdeen Proving Grounds. A second copy of the computer, ILLIAC I, remained at Illinois and was the prototype for several other computers. Taub was head of the Digital Computer Laboratory at Illinois from 1961 until 1964, when he moved to the University of California, Berkeley, as director of the Computer Center (1964–68).",,Princeton University,,1911-02-01,,Chicago,1999 deaths|Differential geometers|1911 births|Relativity theorists|American physicists|20th-century American mathematicians|Guggenheim Fellows,,,"Abraham Haskel Taub (February 1, 1911 – August 9, 1999) was a distinguished American mathematician and physicist, well known for his important contributions to the early development of general relativity, as well as differential geometry and differential equations. In a 1948 paper dealing with relativistic shock waves, he introduced a relativistic generalization of the Rankine-Hugoniot jump conditions across a shock, which is now known as the Taub Adiabat. He also introduced the Taub–NUT space in general relativity.",1999-08-09,,American mathematician and physicist,Howard P. Robertson,C. William Gear|Gene H. Golub,Physics|Mathematics,Abraham H. Taub,male,Abraham,,,http://en.wikipedia.org/wiki/Abraham_H._Taub,Taub Adiabat,Abraham Taub|Abraham H. Taub,United States,,,http://dbpedia.org/resource/Abraham_H._Taub,,http://dbpedia.org/data/Abraham_H._Taub.json,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham_Taub.jpg?width=300,http://en.wikipedia.org/wiki/Abraham_H._Taub?oldid=742301006,2402789,742301006,
"Abraham Pais (May 19, 1918 – July 28, 2000) was a Dutch-born American physicist and science historian. Pais earned his Ph.D. from University of Utrecht just prior to a Nazi ban on Jewish participation in Dutch universities during World War II. When the Nazis began the forced relocation of Dutch Jews, he went into hiding, but was later arrested and saved only by the end of the war. He then served as an assistant to Niels Bohr in Denmark and was later a colleague of Albert Einstein at the Institute for Advanced Study in Princeton, New Jersey. Pais wrote books documenting the lives of these two great physicists and the contributions they and others made to modern physics. He was a physics professor at Rockefeller University until his retirement.",,University of Utrecht,Andrew Gemant Award,1918-05-19,,Netherlands|Amsterdam,Institute for Advanced Study faculty|Dutch Jews|University of Amsterdam alumni|20th-century historians|Utrecht University alumni|Science teachers|20th-century physicists|Scientists from Amsterdam|National Book Award winners|Guggenheim Fellows|1918 births|Dutch emigrants to the United States|Columbia University faculty|Dutch nuclear physicists|American physicists|Dutch people of Portuguese-Jewish descent|Historians of science|Dutch physicists|Members of the Royal Netherlands Academy of Arts and Sciences|2000 deaths,,,"Abraham Pais (May 19, 1918 – July 28, 2000) was a Dutch-born American physicist and science historian. Pais earned his Ph.D. from University of Utrecht just prior to a Nazi ban on Jewish participation in Dutch universities during World War II. When the Nazis began the forced relocation of Dutch Jews, he went into hiding, but was later arrested and saved only by the end of the war. He then served as an assistant to Niels Bohr in Denmark and was later a colleague of Albert Einstein at the Institute for Advanced Study in Princeton, New Jersey. Pais wrote books documenting the lives of these two great physicists and the contributions they and others made to modern physics. He was a physics professor at Rockefeller University until his retirement.",2000-07-28,Copenhagen,American  Physicist,Léon Rosenfeld,,Physicist,Abraham Pais,male,Abraham,,,http://en.wikipedia.org/wiki/Abraham_Pais,G-parity|SU(6),Abraham Pais,Netherlands|United States,,Netherlands,http://dbpedia.org/resource/Abraham_Pais,,http://dbpedia.org/data/Abraham_Pais.json,Jeanne|Lila Lee Atwill|Ida Nicolaisen,Pais,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham_Pais.jpg?width=300,http://en.wikipedia.org/wiki/Abraham_Pais?oldid=737111252,316643,737111252,
"Abram Fedorovich (or Fyodorovich) Ioffe (Russian: Абра́м Фёдорович Ио́ффе; 29 October [O.S. 17 October] 1880 – 14 October 1960) was a prominent Russian/Soviet physicist. He received the Stalin Prize (1942), the Lenin Prize (1960) (posthumously), and the Hero of Socialist Labor (1955). Ioffe was an expert in electromagnetism, radiology, crystals, high-impact physics, thermoelectricity and photoelectricity. He established research laboratories for radioactivity, superconductivity, and nuclear physics, many of which became independent institutes.",,Saint Petersburg State Institute of Technology,,1880-10-29,Abram Fedorovich (or Fyodorovich) Ioffe,Romny|Russian Empire,Heroes of Socialist Labour|Saint Petersburg State Institute of Technology alumni|People from Romny|20th-century physicists|Stalin Prize winners|Jewish scientists|1960 deaths|Full Members of the USSR Academy of Sciences|Soviet physicists|Russian physicists|Lenin Prize winners|Converts to Christianity from Judaism|1880 births|Russian Jews|Full Members of the Russian Academy of Sciences (1917–25)|Russian inventors,,,"Abram Fedorovich (or Fyodorovich) Ioffe (Russian: Абра́м Фёдорович Ио́ффе; 29 October [O.S. 17 October] 1880 – 14 October 1960) was a prominent Russian/Soviet physicist. He received the Stalin Prize (1942), the Lenin Prize (1960) (posthumously), and the Hero of Socialist Labor (1955). Ioffe was an expert in electromagnetism, radiology, crystals, high-impact physics, thermoelectricity and photoelectricity. He established research laboratories for radioactivity, superconductivity, and nuclear physics, many of which became independent institutes.",1960-10-14,Saint Petersburg|Leningrad|Soviet Union,Soviet physicist,Wilhelm Roentgen,Nikolay Semyonov,Physics,Abram Ioffe,male,Abram,,,http://en.wikipedia.org/wiki/Abram_Ioffe,,Abram Ioffe,,,,http://dbpedia.org/resource/Abram_Ioffe,,http://dbpedia.org/data/Abram_Ioffe.json,,Ioffe,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/IoffeStamp.jpg?width=300,http://en.wikipedia.org/wiki/Abram_Ioffe?oldid=736297202,475185,736297202,
"B. Adolf Kratzer (October 16, 1893 – July 6, 1983) was a German theoretical physicist who made contributions to atomic physics and molecular physics, and was an authority on molecular band spectroscopy. He was born in Günzburg and died in Münster. From 1912 to 1914, Kratzer studied physics at the Technische Hochschule München (today, Technische Universität München), and then he spent two years in the army, after which he began studies at the University of Munich under Arnold Sommerfeld. He was granted his doctor of philosophy in 1920; his thesis was on the band spectra of molecules. While at Munich, he was Sommerfeld’s assistant; he had been trained by Sommerfeld’s assistant and student Wilhelm Lenz to fill this role. While at Munich, Kratzer extended the theory of diatomic molecular spectroscopy by including anharmonic forces between the nuclei, which changed the oscillation frequencies. It was Sommerfeld’s practice to send some of his assistants to be personal assistants for physics to the mathematician David Hilbert, at the University of Göttingen. Kratzer was sent to Göttingen during the period 1920 to 1921. Upon his return to Munich, he became a Privatdozent, and it was during this time that he became acquainted with Werner Heisenberg, also a student of Sommerfeld. Based on his work at Munich, it was in 1922 that Krazter’s detailed analysis on the cyanide spectroscopic bands was published. His analysis resulted in the introduction of half-integral quantum numbers to account for molecular rotation. During 1922, he was also called as an ordinarius professor of theoretical physics to the University of Münster. Here, Kratzer made contributions to quantum mechanics and became a leading authority in the field of molecular band spectroscopy. At this time, there were three centers of development for quantum mechanics and the interpretation of atomic and molecular structure, based on atomic and molecular spectroscopy, especially the Sommerfeld-Bohr model: the Theoretical Physics Institute at the University of Munich, under Arnold Sommerfeld, the Institute of Theoretical Physics at the University of Göttingen, under Max Born, and the Institute of Theoretical Physics, under Niels Bohr. These three institutes effectively formed a consortium for the exchange of assistants and researchers. Furthermore, with Sommerfeld educating such capable physicists as Kratzer, and others, when they were called to other facilities, they effectively became extensions of Sommerfeld’s Institute of Theoretical Physics. This was the case with Kratzer when he went to Münster, as was the case of Sommerfeld’s former student Paul Peter Ewald when he went to the Stuttgart Technische Hochschule. Kratzer published a number of physics books, based on his lectures on electrodynamics, mechanics, optics, relativity, thermodynamics, and quantum mechanics (wave mechanics). A book on transcendental functions was written with Walter Franz, also a student of Sommerfeld. The Kratzer potential, a central force in molecular physics, is named in his honor.A potential with the same name has also been used in nuclear physics, as it provides an exact solution of the Bohr hamiltonian.",,,,1893-10-16,,Günzburg,Quantum physicists|Technische Universität München alumni|1893 births|University of Münster faculty|German physicists|1983 deaths,,,"B. Adolf Kratzer (October 16, 1893 – July 6, 1983) was a German theoretical physicist who made contributions to atomic physics and molecular physics, and was an authority on molecular band spectroscopy. He was born in Günzburg and died in Münster. Kratzer published a number of physics books, based on his lectures on electrodynamics, mechanics, optics, relativity, thermodynamics, and quantum mechanics (wave mechanics). A book on transcendental functions was written with Walter Franz, also a student of Sommerfeld.",1983-07-06,Münster,German physicist,,,,Adolf Kratzer,male,Adolf,,,http://en.wikipedia.org/wiki/Adolf_Kratzer,,Adolf Kratzer,,,,http://dbpedia.org/resource/Adolf_Kratzer,,http://dbpedia.org/data/Adolf_Kratzer.json,,Kratzer,,,,,,http://en.wikipedia.org/wiki/Adolf_Kratzer?oldid=711486739,8350301,711486739,
"Adolfas Pranaitis Jucys (12 September 1904 – 4 February 1974) was a Lithuanian theoretical physicist and mathematician, member of the Lithuanian Academy of Sciences in 1953. He graduated from Kaunas University in 1931 and later worked with both creators of the self-consistent field method – Douglas Hartree in Manchester (in 1938) and Vladimir Fock in Leningrad (1949–1951). Adolfas Jucys created the scientific school of theoretical physics in Vilnius, was the head of the Department of Theoretical Physics at Vilnius University (1944–1971). He organized the first Institute of Physics and Mathematics in Lithuania and was its first director (1956–1963), later (1971–1974) the head of the Department of Quantum Mechanical Calculations of the Institute. Jucys developed the theory of the electronic structure of atoms, formulated in a general form the multiconfiguration Hartree–Fock equations taking into account the correlation effects. He along with his co-workers obtained the first solutions of such equations and applied them in atomic structure calculations, later introduced and developed the extended method of calculation, as well as using non-orthogonal radial orbitals. Adolfas Jucys with his disciples developed the mathematical apparatus of many-electron atoms with open shells. The most known work in this field is the monograph, in which the original graphical method for the quantities of the angular momentum theory was presented, see angular momentum diagrams (quantum mechanics) for an exposition. In particular, Yutsis graphs (connected simple graphs which can be partitioned into two vertex-induced trees) are named after Adolfas Jucys. Adolfas Jucys had an interest in the representation theory of Lie groups of different rank, but the Jucys–Murphy elements in the group algebra of the symmetric group are named after his son Algimantas Adolfas Jucys.",Douglas Hartree|Vladimir Fock,Vytautas Magnus University,,1904-09-12,,Klausgalvų Medsėdžiai|Russian Empire,Soviet physicists|20th-century physicists|Lithuanian mathematicians|1974 deaths|Vilnius University alumni|Lithuanian physicists|20th-century mathematicians|1904 births|Vytautas Magnus University alumni|Lithuanian academics|Theoretical physicists|Soviet mathematicians,,,"Adolfas Pranaitis Jucys (12 September 1904 – 4 February 1974) was a Lithuanian theoretical physicist and mathematician, member of the Lithuanian Academy of Sciences in 1953. He graduated from Kaunas University in 1931 and later worked with both creators of the self-consistent field method – Douglas Hartree in Manchester (in 1938) and Vladimir Fock in Leningrad (1949–1951). Adolfas Jucys created the scientific school of theoretical physics in Vilnius, was the head of the Department of Theoretical Physics at Vilnius University (1944–1971). He organized the first Institute of Physics and Mathematics in Lithuania and was its first director (1956–1963), later (1971–1974) the head of the Department of Quantum Mechanical Calculations of the Institute.",1974-02-04,Lithuania|Vilnius,Lithuanian scientist,,,Angular momentum|Atomic spectroscopy,Adolfas Jucys,male,Adolfas,,,http://en.wikipedia.org/wiki/Adolfas_Jucys,,Adolfas Jucys,Lithuania,,,http://dbpedia.org/resource/Adolfas_Jucys,,http://dbpedia.org/data/Adolfas_Jucys.json,,Jucys,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Adolfas_Jucys.jpg?width=300,http://en.wikipedia.org/wiki/Adolfas_Jucys?oldid=742568352,25912842,742568352,
"Adriaan Daniël Fokker (Dutch pronunciation: [ˈaːdriaːn ˈdaːniɛl ˈfɔkər]; 17 August 1887 – 24 September 1972) was a Dutch physicist and musician. He was the inventor of the Fokker organ, a 31-tone equal-tempered organ.",,Leiden University|Delft University of Technology,,1887-08-17,Adriaan Daniël Fokker,Buitenzorg|Dutch East Indies|Bogor,Delft University of Technology alumni|Microtonal musicians|Dutch inventors|1972 deaths|Musicians from West Java|Members of Teylers Tweede Genootschap|People from Bogor|Members of the Royal Netherlands Academy of Arts and Sciences|Leiden University alumni|Dutch physicists|1887 births|Dutch music theorists,,,"Adriaan Daniël Fokker (Dutch pronunciation: [ˈaːdriaːn ˈdaːniɛl ˈfɔkər]; 17 August 1887 – 24 September 1972) was a Dutch physicist and musician. He was the inventor of the Fokker organ, a 31-tone equal-tempered organ.",1972-09-24,Beekbergen|Netherlands,Dutch physicist,Hendrik Lorentz,,Physicist,Adriaan Fokker,male,Adriaan,,,http://en.wikipedia.org/wiki/Adriaan_Fokker,Fokker periodicity block|Fokker–Planck equation,Adriaan Fokker,Netherlands,,Netherlands,http://dbpedia.org/resource/Adriaan_Fokker,,http://dbpedia.org/data/Adriaan_Fokker.json,,Fokker,,,,,,http://en.wikipedia.org/wiki/Adriaan_Fokker?oldid=731164755,3213571,731164755,
